Date,Close,High,Low,Open,Volume
2023-11-22,27088.521484375,27186.313980708484,26746.247747207806,27186.313980708484,4040600
2023-11-23,26012.802734375,27675.27508957942,26012.802734375,27088.52014068374,6999100
2023-11-24,26403.97265625,26403.97265625,25474.943988715277,26208.38767361111,4064500
2023-11-27,26746.248046875,26941.83304173332,26110.596813585467,26550.663052016684,4919300
2023-11-28,26697.3515625,26844.0403073489,26110.596583104394,26746.247810782967,2816700
2023-11-29,27919.7578125,28017.550309216287,26795.144100262696,27088.521590411558,10971600
2023-11-30,27381.8984375,28213.134640066964,27381.8984375,27968.65340401786,5480200
2023-12-01,27724.171875,28017.549355158728,27235.209408068782,27577.483134920636,3944500
2023-12-04,28164.23828125,28359.823269314238,27773.068305121527,28017.549540201824,6103400
2023-12-05,28115.341796875,29142.162975543477,28066.44555027174,28164.23804347826,7871100
2023-12-06,28457.615234375,28506.511480482175,27675.275296660224,28164.23775773196,5331400
2023-12-07,27626.37890625,28262.030102323006,27088.52020188053,27968.65262721239,7681300
2023-12-08,27870.861328125,27870.861328125,27186.313856907895,27724.172584292763,3989900
2023-12-11,27821.96484375,28262.03107150703,27675.276101164323,28262.03107150703,2235800
2023-12-12,27919.7578125,27968.65406085814,27577.484073992993,27821.965315783713,2041000
2023-12-13,26892.935546875,27968.652968749997,26452.869328835226,27919.756722301136,6997400
2023-12-15,26403.97265625,26990.727604166666,26403.97265625,26795.142621527775,2754200
2023-12-18,26403.97265625,26746.246375868053,26208.38767361111,26452.868901909722,1635100
2023-12-19,26892.935546875,26892.935546875,26403.97308238636,26403.97308238636,2665100
2023-12-20,27381.8984375,27381.8984375,26795.143470982144,26990.72845982143,2481600
2023-12-21,27430.794921875,27479.691169507576,26990.728693181816,27088.521188446968,2161300
2023-12-22,27186.3125,27528.586218525183,27088.520008992808,27479.689973021585,1788600
2023-12-25,27675.275390625,27675.275390625,27186.312927893112,27284.10542043949,2634000
2023-12-26,27479.69140625,28017.550134842084,27479.69140625,27773.068894572956,1947600
2023-12-27,27675.275390625,27773.067883171378,27430.794159259054,27773.067883171378,2428000
2023-12-28,27381.8984375,27675.27592075893,27186.313448660716,27626.37967354911,2937400
2023-12-29,27675.275390625,27675.275390625,27235.2091741663,27284.10542043949,3265400
2024-01-02,27381.8984375,27870.860909598214,27381.8984375,27870.860909598214,2793300
2024-01-03,27577.482421875,27577.482421875,27235.208703873006,27333.001194730718,2960600
2024-01-04,27479.69140625,27919.75763873443,27479.69140625,27724.172646519128,4302700
2024-01-05,27186.3125,27577.482464028777,27186.3125,27577.482464028777,2793300
2024-01-08,26746.248046875,27381.899280164536,26697.35179816042,27235.210534020796,5211800
2024-01-09,26159.4921875,26746.24715245327,25915.010952102803,26648.454658294395,9948800
2024-01-10,26355.078125,26452.87062268089,26110.596880797773,26306.181876159553,4480600
2024-01-11,26403.97265625,26501.765147569444,26012.80269097222,26501.765147569444,3921700
2024-01-12,26306.181640625,26599.559131040893,26061.700398611756,26550.662882638244,5376400
2024-01-15,26697.3515625,26844.0403073489,26403.974072802197,26403.974072802197,6363700
2024-01-16,26892.935546875,26892.935546875,26550.661821732952,26697.350561079544,2419600
2024-01-17,26941.83203125,27284.105759414702,26844.039537488658,26990.72827813067,4607900
2024-01-19,26746.248046875,26990.7292904479,26648.455549445844,26892.93679301874,2119800
2024-01-22,26648.455078125,26892.936317373853,26452.870086725918,26795.14382167431,2448100
2024-01-23,27284.10546875,27381.897961469534,26697.350512432797,26697.350512432797,6998000
2024-01-24,27088.521484375,27333.00272520871,26990.728988041516,27284.10647704197,1718900
2024-01-25,26941.83203125,27186.313265653356,26746.247043727315,27039.624525011342,2061900
2024-01-26,27039.625,27284.106238698012,27039.625,27186.31374321881,2422800
2024-01-29,26990.728515625,27284.105999490486,26941.832268314083,27186.31350486866,1617300
2024-01-30,27333.001953125,27675.27568062388,27333.001953125,27479.69069348166,5454700
2024-01-31,26941.83203125,27430.794500056716,26746.247043727315,27430.794500056716,3896400
2024-02-01,26941.83203125,27284.105759414702,26795.143290607986,27039.624525011342,2252900
2024-02-02,27186.3125,27235.208745503598,26844.03878147482,26990.72751798561,3316000
2024-02-05,27626.37890625,27821.96388965708,27088.52020188053,27186.31269358407,6723300
2024-02-06,28115.341796875,28164.23804347826,27675.275577445653,27724.171824048914,4908500
2024-02-07,28115.341796875,28359.823029891304,27968.653057065218,28115.341796875,3086600
2024-02-15,27968.654296875,28310.928038270325,27773.06930179196,28213.135540728803,4521300
2024-02-16,27870.861328125,28213.135063733553,27773.06883223684,28066.446319901315,4167100
2024-02-19,28115.341796875,28604.304262907608,27870.860563858696,27870.860563858696,7262000
2024-02-20,28066.4453125,28457.615282012193,27968.65282012195,28310.926543445123,3268200
2024-02-21,27870.861328125,28310.92755962171,27773.06883223684,28066.446319901315,3493800
2024-02-22,28653.201171875,29191.059896944327,27919.757455871375,27919.757455871375,10433600
2024-02-23,27724.171875,28799.889302248677,27479.69064153439,28750.993055555555,6007700
2024-02-26,27479.69140625,27821.96514262678,26990.728925711745,27773.068894572956,6084300
2024-02-27,28164.23828125,28213.13452826606,27381.89832899306,27675.27581108941,6459000
2024-02-28,30120.087890625,30120.087890625,28457.61550705154,28506.51175362723,22282100
2024-02-29,30217.880859375,30511.258343446603,29680.022138577064,30217.880859375,6362800
2024-03-01,31098.013671875,31195.806167698505,29924.503721992925,30217.88120946344,7434600
2024-03-04,30804.634765625,31489.18220486111,30462.361046006943,31293.597222222223,8859100
2024-03-05,31049.1171875,31293.59842519685,30462.36221702756,30657.94720718504,5327700
2024-03-06,30511.2578125,31195.805263421476,29826.710361578527,31000.22027744391,7314000
2024-03-07,30902.427734375,31489.182691356804,30511.2577630538,30804.6352415447,6192500
2024-03-08,30120.087890625,31293.59780844156,30120.087890625,31000.220328987416,6983400
2024-03-11,29386.64453125,30120.088238352746,29239.95578982945,30120.088238352746,8490400
2024-03-12,29631.125,29973.39872112211,29386.643770627063,29533.332508250824,5784300
2024-03-13,30657.947265625,30706.843513257576,29582.229817708332,29826.711055871212,7366400
2024-03-14,32173.73046875,32760.48543170593,31000.22054283815,31098.013036664135,16354900
2024-03-15,32075.9375,32858.27743902439,31538.078791920732,32564.89996189024,5093000
2024-03-18,30560.154296875,32516.004171875,30071.191828125,32271.522937499998,14286900
2024-03-19,30755.740234375,31684.768953696344,30266.77775052166,30804.636482760332,7495100
2024-03-20,31538.080078125,31538.080078125,30804.63635537791,31049.117596293603,4752400
2024-03-21,31635.87109375,31880.352323222563,31049.11614301584,31684.76733964451,8497300
2024-03-22,31244.701171875,31782.559877494128,31146.90867994425,31635.871139598003,7423300
