Date,Close,High,Low,Open,Volume
2020-01-02,64245.1796875,64652.65728498155,63633.969980229995,63633.969980229995,178086
2020-01-03,64381.0,65467.60014393803,64245.174145888785,64245.174145888785,276069
2020-01-06,66418.375,66554.20085526917,65331.774846798406,65671.33948497134,543480
2020-01-07,65942.9921875,66350.46307048536,65399.68875825031,66350.46307048536,180027
2020-01-08,65875.078125,67233.32329684227,65875.078125,66961.6715868931,553780
2020-01-09,64652.65234375,65739.25249836917,64381.000632857256,65195.949076583674,458874
2020-01-10,65128.03125,65195.94417261485,64516.82163541766,64856.38624849191,202746
2020-01-13,64720.56640625,65128.03729078169,64313.088832766385,65128.03729078169,447792
2020-01-14,64448.9140625,65195.949584321046,64448.9140625,64652.65284725624,1114283
2020-01-15,63837.70703125,64516.829652840875,63226.49065176129,64516.829652840875,253906
2020-01-16,63362.30859375,64041.43781940367,63158.5698260539,63837.69905170757,640934
2020-01-17,63294.40234375,63973.531640998226,62954.84438407789,63362.31527347482,355217
2020-01-20,63430.2265625,63566.05241843634,63090.66861161097,63294.400706563654,219588
2020-01-21,64448.9140625,64448.9140625,63430.226827670616,63430.226827670616,228136
2020-01-22,64448.9140625,64788.47870376041,64041.443181939365,64448.9140625,205229
2020-01-30,62479.44921875,63701.87517372446,61800.32666107597,61800.32666107597,478994
2020-01-31,58744.26953125,62275.71512319488,58404.7048824276,61868.24423356001,695510
2020-02-03,56503.15234375,58336.79463242196,54737.43301360253,57725.57830654746,1034329
2020-02-04,55688.20703125,57725.578052831464,55688.20703125,57657.665128032786,474531
2020-02-05,55416.55859375,57046.45885142322,54737.43599474313,56367.336252416346,365896
2020-02-06,58336.796875,58336.796875,55416.55770594111,55416.55770594111,320056
2020-02-07,58404.70703125,59083.83635388128,57725.58439757098,58336.80078793913,377495
2020-02-10,58948.0078125,59015.920741679176,57046.4591733871,57725.58177622686,356099
2020-02-11,58133.0625,58948.01100533869,57997.23663428483,58472.62047533561,549291
2020-02-12,58404.70703125,58812.18462482876,58133.06199114974,58812.18462482876,221240
2020-02-13,59423.390625,59830.86819319862,58268.88422634091,58268.88422634091,343215
2020-02-14,60102.51953125,60374.16455273984,59083.83230604564,59423.390255145896,205330
2020-02-17,59287.5703125,60645.81546901826,59287.5703125,60102.5187442013,226977
2020-02-18,58404.70703125,59355.48139398153,58268.887855675996,59083.83635388128,271807
2020-02-19,57929.3203125,58472.61705462491,57929.3203125,58404.7041257403,210272
2020-02-20,57929.3203125,59762.95601448046,57861.4073836154,59762.95601448046,249871
2020-02-21,57997.23046875,58540.52718490189,57997.23046875,58404.70133362601,216135
2020-02-24,56978.546875,57725.582415289144,56706.89515527594,57725.582415289144,438917
2020-02-25,56367.3359375,56978.545604296254,56027.77129541771,56027.77129541771,747464
2020-02-26,54262.046875,56027.76958192316,54058.308095981556,56027.76958192316,603138
2020-02-27,53650.83203125,54262.045002740175,53039.619059759825,54194.13207874396,452709
2020-02-28,51477.63671875,52903.79813171424,51002.24958109525,51002.24958109525,849269
2020-03-02,53650.83203125,53990.39330675533,51205.983489765014,51341.80933775744,322375
2020-03-03,54329.9609375,56299.42246462744,54329.9609375,56299.42246462744,467044
2020-03-04,53039.62109375,53990.39537720628,52835.885658424144,53990.39537720628,576725
2020-03-05,53039.62109375,54329.960010209135,53039.62109375,53039.62109375,331074
2020-03-06,52632.15234375,53039.62660118819,52360.50395361661,52971.71366753579,262806
2020-03-09,48964.875,48964.875,48964.875,48964.875,285335
2020-03-10,46520.03125,48149.93160519623,45569.25687892124,45569.25687892124,1736450
2020-03-11,43328.14453125,48285.7515792167,43328.14453125,47538.71604612446,1365142
2020-03-12,40339.99609375,41358.68335364169,40339.99609375,40339.99609375,1277433
2020-03-13,38710.09375,39728.78095570671,37555.58403614801,37555.58403614801,1230308
2020-03-16,40272.08203125,40883.295038890996,38030.97212920092,38574.27220882892,837619
2020-03-17,40611.64453125,40679.557461277065,38166.7991171316,38166.7991171316,796179
2020-03-18,39389.21875,40747.46721110679,39253.3929005466,40747.46721110679,1482943
2020-03-19,37555.5859375,38370.53440553398,37283.93421850467,38030.97310126582,1131846
