Date,Close,High,Low,Open,Volume
2023-09-15,36737.79296875,37790.058520781444,36692.04229257472,37012.29702580168,1805700
2023-09-18,36234.53515625,37195.299345999054,35731.277723524305,37195.299345999054,1605300
2023-09-19,36509.0390625,36600.54041353383,35960.03095629699,36417.53771146617,652800
2023-09-20,36966.54296875,37149.54565671411,36417.53490485767,36600.53759282178,1259800
2023-09-21,37059.66015625,37432.11905229271,36873.43070822865,37245.88960427136,972500
2023-09-22,36454.41015625,36780.31165189974,35383.59095625798,36407.85279972861,1065100
2023-09-25,34918.01953125,36500.969750000004,34918.01953125,36454.412390625,1155700
2023-09-26,34545.55859375,35337.03365587095,34545.55859375,34918.0174465128,1064900
2023-09-27,34033.4296875,34731.79007780438,33521.29873461012,34452.44592168263,1698300
2023-09-28,35150.80859375,35150.80859375,34266.218708609274,34499.00552048841,2176200
2023-09-29,34918.01953125,35150.806328125,34592.118015625,35150.806328125,435400
2023-10-02,34918.01953125,35290.478406250004,34685.232734375,34918.01953125,567900
2023-10-03,33521.30078125,34638.677473958334,33521.30078125,34545.56274956597,1026000
2023-10-04,33754.0859375,33893.75801724138,32729.824019396554,32729.824019396554,784600
2023-10-05,32031.46484375,33800.644588026895,32031.46484375,33800.644588026895,1530500
2023-10-06,32590.150390625,33055.72396763393,31984.904740513393,32497.035675223215,2194100
2023-10-09,33241.95703125,33428.186482405465,33009.17021730568,33335.07175682773,1552600
2023-10-10,33521.30078125,33754.087592230906,33474.74341905382,33521.30078125,1524500
2023-10-11,34359.328125,34452.44283536585,33614.41044207317,33754.08250762195,1346000
2023-10-12,34173.1015625,34918.01930773161,34033.42948526907,34452.445716961854,1061800
2023-10-13,34173.1015625,34312.77363973093,33986.872126192095,34173.1015625,1299600
2023-10-16,34266.21484375,35197.36198624321,34266.21484375,34918.01784349525,1011900
2023-10-17,33521.30078125,34312.77593858507,33521.30078125,34266.21857638889,1005800
2023-10-18,32590.150390625,33660.96961774554,32078.01945591518,33660.96961774554,1299500
2023-10-19,32590.150390625,33195.39604073661,32497.035675223215,32636.707748325894,593100
2023-10-20,32962.61328125,33009.1706446416,32031.46601341808,32729.826464292022,610400
2023-10-23,32916.05078125,33381.624342512376,32590.149288366338,33335.06698638614,377000
2023-10-24,33055.7265625,33195.3986465669,32683.26767165493,32916.0544784331,303400
